"UserID";"UserSurname";"UserName";"UserPatronymic";"UserLogin";"UserPassword";"UserRole"
1;"Иванов";"Алексей";"Петрович";"admin";"admin123";1
2;"Петрова";"Мария";"Сергеевна";"seller";"seller456";2
3;"Сидоров";"Дмитрий";"Иванович";"merch";"merch789";3
4;"Смирнов";"Иван";"Алексеевич";"user1";"pass1";4
5;"Кузнецова";"Ольга";"Сергеевна";"user2";"pass2";4
6;"Попов";"Дмитрий";"Игоревич";"user3";"pass3";4
7;"Васильева";"Елена";"Викторовна";"user4";"pass4";4
8;"Петров";"Андрей";"Николаевич";"user5";"pass5";4
9;"Соколова";"Марина";"Олеговна";"user6";"pass6";4
10;"Михайлов";"Сергей";"Васильевич";"user7";"pass7";4
11;"Новикова";"Анна";"Дмитриевна";"user8";"pass8";4
12;"Федоров";"Павел";"Анатольевич";"user9";"pass9";4
13;"Морозова";"Татьяна";"Ивановна";"user10";"pass10";4
14;"Волков";"Алексей";"Петрович";"user11";"pass11";4
15;"Алексеева";"Юлия";"Сергеевна";"user12";"pass12";4
16;"Лебедев";"Максим";"Андреевич";"user13";"pass13";4
17;"Козлова";"Екатерина";"Алексеевна";"user14";"pass14";4
18;"Егоров";"Никита";"Олегович";"user15";"pass15";4
19;"Павлова";"Виктория";"Денисовна";"user16";"pass16";4
20;"Семенов";"Артем";"Иванович";"user17";"pass17";4
21;"Голубева";"Алина";"Владимировна";"user18";"pass18";4
22;"Виноградов";"Роман";"Сергеевич";"user19";"pass19";4
23;"Богданова";"Дарья";"Андреевна";"user20";"pass20";4
24;"Воробьев";"Игорь";"Александрович";"user21";"pass21";4
25;"Жукова";"Оксана";"Игоревна";"user22";"pass22";4
26;"Марков";"Глеб";"Викторович";"user23";"pass23";4
27;"Ковалева";"Людмила";"Петровна";"user24";"pass24";4
28;"Белов";"Станислав";"Дмитриевич";"user25";"pass25";4
29;"Медведева";"Галина";"Сергеевна";"user26";"pass26";4
30;"Комаров";"Вадим";"Анатольевич";"user27";"pass27";4
31;"Орлова";"Надежда";"Валерьевна";"user28";"pass28";4
32;"Калинин";"Артур";"Олегович";"user29";"pass29";4
33;"Захарова";"Валерия";"Ивановна";"user30";"pass30";4
34;"Соловьев";"Руслан";"Алексеевич";"user31";"pass31";4
35;"Власова";"Ангелина";"Денисовна";"user32";"pass32";4
36;"Тихонов";"Даниил";"Сергеевич";"user33";"pass33";4
37;"Фомина";"Кристина";"Андреевна";"user34";"pass34";4
38;"Давыдов";"Евгений";"Владимирович";"user35";"pass35";4
39;"Мельникова";"Лариса";"Олеговна";"user36";"pass36";4
40;"Щербаков";"Константин";"Игоревич";"user37";"pass37";4
41;"Блинова";"Элина";"Романовна";"user38";"pass38";4
42;"Крылов";"Тимур";"Васильевич";"user39";"pass39";4
43;"Ларина";"Евгения";"Алексеевна";"user40";"pass40";4
44;"Тимофеев";"Владислав";"Дмитриевич";"user41";"pass41";4
45;"Маслова";"Диана";"Сергеевна";"user42";"pass42";4
46;"Исаев";"Григорий";"Андреевич";"user43";"pass43";4
47;"Гусева";"Вероника";"Ивановна";"user44";"pass44";4
48;"Филиппов";"Арсений";"Олегович";"user45";"pass45";4
49;"Мартынова";"Арина";"Денисовна";"user46";"pass46";4
50;"Широков";"Михаил";"Алексеевич";"user47";"pass47";4
51;"Субботина";"Яна";"Владимировна";"user48";"pass48";4
52;"Максимов";"Данила";"Сергеевич";"user49";"pass49";4
53;"Кузьмина";"Олеся";"Андреевна";"user50";"pass50";4
54;"Иванова";"Анна";"Петровна";"user51";"pass51";4
55;"Петров";"Сергей";"Иванович";"user52";"pass52";4
56;"Сидорова";"Ольга";"Дмитриевна";"user53";"pass53";4
57;"Козлов";"Андрей";"Сергеевич";"user54";"pass54";4
58;"Михайлова";"Елена";"Алексеевна";"user55";"pass55";4
59;"Новиков";"Денис";"Викторович";"user56";"pass56";4
60;"Федорова";"Татьяна";"Анатольевна";"user57";"pass57";4
61;"Морозов";"Игорь";"Петрович";"user58";"pass58";4
62;"Волкова";"Юлия";"Алексеевна";"user59";"pass59";4
63;"Алексеев";"Максим";"Сергеевич";"user60";"pass60";4
64;"Лебедева";"Анастасия";"Андреевна";"user61";"pass61";4
65;"Козлов";"Артем";"Игоревич";"user62";"pass62";4
66;"Егорова";"Виктория";"Олеговна";"user63";"pass63";4
67;"Павлов";"Роман";"Денисович";"user64";"pass64";4
68;"Семенова";"Алина";"Ивановна";"user65";"pass65";4
